feature,target,n,pearson_r,pearson_p,spearman_rho,spearman_p
rho_100_std,resid_mu,150,-0.28576823166754145,0.0003928068599476,-0.15120427567565864,0.06474583420063844
rho_100_std,abs_resid,150,-0.22379182713038442,0.005905979217029102,-0.061232512311853345,0.4566542901135119
abs_full_grad,resid_mu,150,0.24064978942171447,0.0030129722134656137,0.006850143119014762,0.9336957611166399
abs_full_grad,abs_resid,150,0.22663465361497143,0.005289397192861207,0.12878909097882932,0.11625440034048545
best_window_abs_grad,resid_mu,150,0.26271470227028065,0.001162543289483624,0.03814650543378637,0.6430362584558476
best_window_abs_grad,abs_resid,150,0.22088339917612826,0.0066023713498931415,0.03623660161410958,0.6597648003158985
multiscale_var,resid_mu,150,0.23812778868897697,0.0033420144052316958,-0.022399416858672982,0.7855644243957125
multiscale_var,abs_resid,150,0.19549486446772607,0.01650899471573213,0.13376002276205418,0.10270976404243276
neighbor_log_rho_std,resid_mu,145,0.124150245523975,0.13680625988324818,0.07220534958057834,0.38809925534419343
neighbor_log_rho_std,abs_resid,145,0.2803534472422375,0.0006367850535590865,0.10428874283549673,0.2119063007867942
abs_own_minus_neighbor,resid_mu,145,0.22826625325147354,0.0057544451406167955,0.13680746498110458,0.1008293370708564
abs_own_minus_neighbor,abs_resid,145,0.26195820164867656,0.0014582611364786545,0.1932494749835954,0.019864951175887564
neighbor_high_low_pairs,resid_mu,150,0.014971593247107104,0.8557082242474408,0.10951045033724037,0.18219745416927385
neighbor_high_low_pairs,abs_resid,150,0.2762533149172279,0.0006217720299580521,0.22933620381570585,0.004757464745651973
corridor_betweenness,resid_mu,150,0.1176274027497821,0.15169623858085027,0.08974607932906742,0.274757904645373
corridor_betweenness,abs_resid,150,-0.029674162380501547,0.7184942634800088,0.039723930298398,0.6293531919811326
graph_neck_score,resid_mu,145,0.13473015103124605,0.10615925060374455,0.10013955308203858,0.23075424296862138
graph_neck_score,abs_resid,145,0.26728010629374355,0.0011542202834581238,0.06870570091755716,0.41156850382854804
