feature,target,n,pearson_r,pearson_p,spearman_rho,spearman_p
rho_100_std,resid_mu,400,-0.12532306869325371,0.012123996745609185,-0.02069018179366905,0.6799342870468923
rho_100_std,abs_resid,400,-0.12571391268563972,0.011856040037178056,-0.057179576185315294,0.2538922628065601
abs_full_grad,resid_mu,400,0.11835141024048192,0.01788702772261072,0.07015611936429735,0.1613763995327465
abs_full_grad,abs_resid,400,0.14023015198947725,0.004958431782906241,0.11832881423513146,0.017909051279935848
best_window_abs_grad,resid_mu,400,0.15246615388793697,0.0022306091752169973,0.08436881460366864,0.0919690483472671
best_window_abs_grad,abs_resid,400,0.1597340899449175,0.0013492724610840356,0.05586585316897998,0.26498280470269564
multiscale_var,resid_mu,400,0.11850448907088748,0.017738448550356414,0.08064945265514527,0.10727442623683033
multiscale_var,abs_resid,400,0.1490427776767258,0.0028059440909221174,0.15137238901855335,0.0024015063628551095
neighbor_log_rho_std,resid_mu,396,0.1577781227972885,0.0016351122099010499,0.15886819087688975,0.0015159695527718197
neighbor_log_rho_std,abs_resid,396,0.14436199838223593,0.003992162972501867,0.1383234226545829,0.005830481959210552
abs_own_minus_neighbor,resid_mu,396,0.16778706119358944,0.0008018362045357283,0.09314419997487781,0.06406687726319964
abs_own_minus_neighbor,abs_resid,396,0.17404481470920233,0.0005031222060475073,0.12684031272412155,0.011526354611865974
neighbor_high_low_pairs,resid_mu,400,0.039950052821119436,0.42555631769105373,0.002535306111739417,0.9596860835080114
neighbor_high_low_pairs,abs_resid,400,0.03130295199828363,0.5324615868370935,0.031749940850941565,0.5266218280902302
corridor_betweenness,resid_mu,400,-0.004895988967724783,0.9222388674581399,0.022820957364872736,0.6490732318175377
corridor_betweenness,abs_resid,400,-0.0901782293188171,0.07160954095535307,-0.03694575122600238,0.4612110250956657
graph_neck_score,resid_mu,396,0.10279083343635836,0.04090774227110272,0.10399032980696013,0.03859765573299706
graph_neck_score,abs_resid,396,0.0450258223542946,0.37152340936063943,0.06367617434539873,0.20608013516240978
