CID,RA,DEC,zCMB,MU_SH0ES,MU_SH0ES_ERR_DIAG,mu_model,resid_mu,resid_mu_err
000137,161.159,57.8111,0.11878,38.5629,0.212381,38.60345455023139,-0.04055455023139132,0.212381
03D1bp,36.6572,-4.8388,0.34594,41.3318,0.136683,41.19032803835758,0.1414719616424236,0.136683
040137,214.46,52.801,0.44756,41.8552,0.223954,41.84484757534799,0.01035242465201236,0.223954
040150,162.098,57.1482,0.38174,41.5615,0.198898,41.4391329145036,0.12236708549639985,0.198898
040201,184.46,47.4468,0.27987,40.5664,0.153331,40.6611242016092,-0.09472420160919626,0.153331
040780,243.62,54.7258,0.23066,40.0717,0.296847,40.185724173516704,-0.1140241735167038,0.296847
040782,242.077,54.9081,0.33739,41.0098,0.23724,41.127391564297135,-0.11759156429713613,0.23724
04D3ez,214.783,53.072,0.26348,40.3997,0.177345,40.51201101823731,-0.11231101823730683,0.177345
04D4id,334.089,-17.229,0.76707,43.5587,0.25715,43.24905982367798,0.30964017632202,0.25715
04D4ju,334.261,-17.3328,0.47039,42.2151,0.404516,41.97267093004389,0.2424290699561098,0.404516
050003,242.219,55.0048,0.42689,41.813,0.229539,41.72376753210033,0.0892324678996701,0.229539
050005,211.812,53.9976,0.52851,42.0855,0.188829,42.273622535288524,-0.18812253528852096,0.188829
050201,241.703,54.9809,0.55011,42.3253,0.19588,42.377604486296505,-0.052304486296506525,0.19588
050203,242.793,55.1223,0.57609,42.4887,0.202103,42.497694964329064,-0.008994964329062327,0.202103
050301,244.724,55.7829,0.34704,41.1174,0.244272,41.19832050921708,-0.08092050921707994,0.244272
050303,241.437,56.0744,0.32829,41.3079,0.308428,41.05876672249343,0.24913327750656578,0.308428
05D1ke,36.6929,-4.8625,0.68867,42.8137,0.226508,42.96498658679509,-0.151286586795095,0.226508
05D2ac,149.747,2.4895,0.48071,41.9748,0.139221,42.02856228366798,-0.05376228366797875,0.139221
05D2bt,150.418,2.5662,0.68195,42.8376,0.239367,42.93921201426994,-0.10161201426993927,0.239367
05D3lr,215.551,53.1843,0.6006,42.6116,0.278838,42.60639158042777,0.005208419572234391,0.278838
05D4bj,333.749,-18.1334,0.69916,42.9402,0.338462,43.004743885610836,-0.06454388561083846,0.338462
05D4ev,333.377,-17.7008,0.72013,43.1612,0.243162,43.08253563256257,0.07866436743743321,0.243162
06D3et,215.52,52.3384,0.57661,42.4263,0.166843,42.50004607837036,-0.07374607837036251,0.166843
090201,353.328,-0.9507,0.50817,42.0193,0.184312,42.171990754748165,-0.15269075474816418,0.184312
091869,351.908,-1.7625,0.28843,40.7458,0.165419,40.73582531589023,0.009974684109771204,0.165419
100101,132.141,43.9852,0.42967,41.9219,0.19807,41.74036552575,0.18153447425000024,0.19807
10550,349.675,-1.2049,0.29923,41.0113,0.341681,40.82720813664015,0.1840918633598463,0.341681
110716,128.986,43.4945,0.31577,41.2033,0.233304,40.961422221859536,0.24187777814046285,0.233304
1279500,36.9257,-4.3149,0.23471,40.2784,0.167703,40.22822806175505,0.05017193824495081,0.167703
12860,323.694,1.1759,0.12042,38.7926,0.252257,38.635465715378324,0.15713428462167656,0.252257
12927,41.7861,0.7751,0.18892,39.4384,0.149571,39.702175504637715,-0.2637755046377137,0.149571
12950,351.667,-0.8403,0.08141,37.7215,0.219648,37.73073694675067,-0.009236946750668551,0.219648
1306073,36.8506,-3.7494,0.32859,41.1,0.144172,41.06105693336829,0.038943066631709655,0.144172
13070,357.785,-0.7463,0.19719,39.8018,0.14158,39.80536358045043,-0.0035635804504323687,0.14158
1308582,37.1372,-4.3728,0.36705,41.2088,0.151911,41.33976533829163,-0.13096533829163093,0.151911
1316437,42.5626,-0.745,0.47196,42.0374,0.25691,41.9812471804617,0.05615281953829765,0.25691
1317286,36.0079,-6.8106,0.28198,40.5986,0.166629,40.67973150869896,-0.08113150869895946,0.166629
1332413,36.2749,-5.853,0.60873,42.6179,0.230751,42.641520609356,-0.02362060935600141,0.230751
13370,27.1515,0.3282,0.19846,40.3246,0.238597,39.82085296030183,0.5037470396981689,0.238597
1338266,34.905,-5.8691,0.64846,43.0397,0.272369,42.80703105560486,0.23266894439514374,0.272369
1345582,33.7065,-4.6747,0.45878,41.9679,0.252185,41.90840846046906,0.05949153953093855,0.252185
13727,317.588,0.9326,0.22534,40.1329,0.188923,40.12883086263482,0.0040691373651782214,0.188923
13830,351.562,-0.3823,0.32985,40.8444,0.209813,41.07065477922046,-0.22625477922046144,0.209813
140152,162.393,57.6157,0.20864,39.8798,0.15965,39.94179308726686,-0.06199308726685615,0.15965
14157,51.1367,1.0224,0.21083,39.806,0.155718,39.96709439044967,-0.16109439044966933,0.155718
14437,332.081,-1.1964,0.14792,39.0382,0.157931,39.11880428243464,-0.08060428243463491,0.157931
150254,183.211,47.1458,0.27508,40.5286,0.241865,40.61839770321263,-0.08979770321263203,0.241865
15440,39.7207,0.0901,0.2613,40.447,0.207526,40.49153620841223,-0.044536208412225164,0.207526
160039,184.975,48.1403,0.27085,40.4887,0.166124,40.58009150712589,-0.09139150712589128,0.166124
16093,350.362,1.1325,0.33439,41.1204,0.23572,41.10495892647402,0.015441073525977345,0.23572
16350,323.639,-0.8858,0.23684,40.2279,0.210237,40.25031063580981,-0.022410635809812618,0.210237
17220,9.7015,-0.1792,0.17769,39.3394,0.257355,39.55512407924062,-0.21572407924062276,0.257355
17340,41.2121,0.3648,0.25625,40.3729,0.207312,40.443493495220316,-0.0705934952203151,0.207312
18030,4.933,-0.4001,0.15518,39.3994,0.175858,39.232298353400225,0.16710164659977522,0.175858
18617,345.762,0.8492,0.3257,41.1639,0.271274,41.03891379897301,0.1249862010269851,0.271274
18650,328.447,0.0151,0.11243,38.6214,0.163201,38.47544638911949,0.14595361088051106,0.163201
18740,16.8553,1.0437,0.15317,39.0991,0.159928,39.20138166059132,-0.10228166059132349,0.159928
18807,46.6409,0.7933,0.18714,39.7694,0.13671,39.67941821617536,0.08998178382464062,0.13671
18927,46.6825,-0.754,0.21214,39.9374,0.243726,39.9821128492864,-0.04471284928640529,0.243726
18940,10.349,0.412,0.21099,39.9552,0.163264,39.968933331946175,-0.01373333194617743,0.163264
19027,328.884,-0.372,0.29114,40.484,0.219145,40.75904870471513,-0.2750487047151253,0.219145
19207,333.464,-0.9203,0.25721,40.5776,0.249962,40.45269326914142,0.12490673085857651,0.249962
19230,332.891,0.7648,0.22005,39.9228,0.242946,40.07101279796318,-0.14821279796317555,0.242946
1990O,258.901,16.322,0.03093,35.4926,0.166476,35.55373979440757,-0.06113979440756623,0.166476
19940,315.393,-0.2685,0.15591,38.9704,0.179204,39.243434278857805,-0.27303427885780707,0.179204
1996bl,9.0749,11.3946,0.03481,35.7348,0.155656,35.81636803549163,-0.08156803549162817,0.155656
2000dg,1.5575,8.8882,0.03725,36.0748,0.289284,35.967239448921376,0.1075605510786275,0.289284
2000dk,16.848,32.4064,0.01649,34.1436,0.28269,34.16527333072595,-0.02167333072595312,0.28269
2000dm,274.746,16.2482,0.01472,34.0109,0.270222,33.91589604458839,0.095003955411606,0.270222
2001br,277.607,34.1036,0.02046,34.8118,0.300223,34.639980330515435,0.17181966948456306,0.300223
2002de,244.127,35.7084,0.0305,35.3638,0.283742,35.52267142458615,-0.15887142458615244,0.283742
2002jy,20.3178,40.4987,0.0187,34.9988,0.187715,34.441879852468034,0.5569201475319687,0.187715
2003kc,146.643,30.6553,0.0341,35.8566,0.205773,35.770523081693135,0.08607691830686548,0.205773
20040,328.879,0.8151,0.28655,40.6389,0.217509,40.71959602270656,-0.08069602270656162,0.217509
2004br,187.783,0.6132,0.02426,34.807,0.18246,35.01588403420042,-0.20888403420041612,0.18246
2004gs,129.597,17.6277,0.02829,35.5996,0.235009,35.35589709211966,0.24370290788034055,0.235009
2004gu,191.603,11.9489,0.0467,36.4713,0.19409,36.47262618018118,-0.0013261801811808027,0.19409
2005de,270.597,26.0521,0.01495,34.1793,0.26677,33.949928923674754,0.22937107632524345,0.26677
2005kc,338.531,5.5684,0.01386,34.0187,0.307194,33.78380361956941,0.23489638043059102,0.307194
2006ev,322.747,13.9892,0.02759,35.6739,0.216353,35.300398912812724,0.3735010871872788,0.216353
2006qo,120.035,56.3688,0.02871,35.4779,0.275376,35.388552930960714,0.08934706903928458,0.275376
2008050,204.198,5.1418,0.04627,36.2636,0.218105,36.45188692693954,-0.18828692693953997,0.218105
2008051,229.995,4.9046,0.03835,36.0125,0.17035,36.03212555178247,-0.019625551782468165,0.17035
2008bf,181.012,20.2452,0.02451,35.1061,0.235556,35.038538686073416,0.06756131392658205,0.235556
2008gg,21.346,-18.1724,0.03107,35.67,0.236835,35.56376384482163,0.10623615517837237,0.236835
2009D,58.5951,-19.1817,0.02476,35.008,0.162015,35.06096726178399,-0.05296726178399069,0.162015
2009dc,237.801,25.7078,0.02179,34.3468,0.19901,34.77883449732403,-0.4320344973240253,0.19901
2009na,161.756,26.5439,0.02209,34.7477,0.199095,34.80899916138554,-0.06129916138554137,0.199095
