CID,RA,DEC,zCMB,MU_SH0ES,MU_SH0ES_ERR_DIAG,mu_model,resid_mu,resid_mu_err
000137,161.159,57.8111,0.11878,38.5629,0.212381,38.60345455023139,-0.04055455023139132,0.212381
000190,148.988,2.2635,0.10237,38.4085,0.187412,38.257946708289325,0.150553291710672,0.187412
000196,150.115,2.694,0.35066,41.2342,0.163121,41.22445868008809,0.009741319911910296,0.163121
000220,150.537,2.7186,0.21982,40.0616,0.124319,40.06846989984891,-0.00686989984890829,0.124319
000420,149.82,1.6135,0.31152,41.0123,0.141744,40.927566486946475,0.0847335130535285,0.141744
010026,160.674,58.8438,0.03174,35.6746,0.20211,35.611131894952905,0.0634681050470931,0.20211
020090,212.879,53.5796,0.40995,41.6836,0.279968,41.62040238271712,0.06319761728288142,0.279968
020096,161.314,58.1927,0.22563,39.9865,0.175963,40.131964042969315,-0.1454640429693157,0.175963
03D1au,36.0432,-4.0375,0.50309,42.1444,0.228687,42.14601286532552,-0.001612865325519408,0.228687
03D1aw,36.0616,-4.5172,0.58073,42.7061,0.239821,42.51860366297305,0.1874963370269498,0.239821
03D1bp,36.6572,-4.8388,0.34594,41.3318,0.136683,41.19032803835758,0.1414719616424236,0.136683
03D4dy,333.711,-17.9565,0.60826,42.5904,0.228388,42.63950192185747,-0.04910192185747064,0.228388
03D4fd,334.06,-17.3956,0.78905,43.3837,0.271177,43.32368456709361,0.060015432906389776,0.271177
040137,214.46,52.801,0.44756,41.8552,0.223954,41.84484757534799,0.01035242465201236,0.223954
040150,162.098,57.1482,0.38174,41.5615,0.198898,41.4391329145036,0.12236708549639985,0.198898
040201,184.46,47.4468,0.27987,40.5664,0.153331,40.6611242016092,-0.09472420160919626,0.153331
040780,243.62,54.7258,0.23066,40.0717,0.296847,40.185724173516704,-0.1140241735167038,0.296847
040782,242.077,54.9081,0.33739,41.0098,0.23724,41.127391564297135,-0.11759156429713613,0.23724
04D1ks,36.0396,-4.9787,0.79656,42.9026,0.372096,43.34872183934219,-0.4461218393421902,0.372096
04D1pp,36.302,-4.7016,0.73362,42.9845,0.195902,43.13143787158884,-0.14693787158883964,0.195902
04D1qd,36.6378,-4.1072,0.7656,43.2369,0.225434,43.2439955810626,-0.007095581062600331,0.225434
04D2cf,150.484,1.8795,0.37059,41.3759,0.163241,41.36404320495852,0.011856795041481405,0.163241
04D2fp,149.867,2.321,0.41664,41.7295,0.149208,41.66168936418367,0.06781063581632907,0.149208
04D2mh,149.941,2.141,0.59184,42.4508,0.255828,42.56803277595431,-0.11723277595430659,0.255828
04D2mj,150.152,2.5771,0.51475,42.3259,0.402924,42.2052798829697,0.12062011703029896,0.402924
04D3do,214.442,52.2676,0.61064,42.6686,0.184238,42.64970903870903,0.01889096129097112,0.184238
04D3ez,214.783,53.072,0.26348,40.3997,0.177345,40.51201101823731,-0.11231101823730683,0.177345
04D3ks,215.64,52.1852,0.75068,42.9012,0.318716,43.19205787958993,-0.2908578795899288,0.318716
04D4id,334.089,-17.229,0.76707,43.5587,0.25715,43.24905982367798,0.30964017632202,0.25715
04D4in,333.786,-17.261,0.51435,42.2259,0.196162,42.203267648026014,0.022632351973989273,0.196162
04D4ju,334.261,-17.3328,0.47039,42.2151,0.404516,41.97267093004389,0.2424290699561098,0.404516
050003,242.219,55.0048,0.42689,41.813,0.229539,41.72376753210033,0.0892324678996701,0.229539
050005,211.812,53.9976,0.52851,42.0855,0.188829,42.273622535288524,-0.18812253528852096,0.188829
050201,241.703,54.9809,0.55011,42.3253,0.19588,42.377604486296505,-0.052304486296506525,0.19588
050203,242.793,55.1223,0.57609,42.4887,0.202103,42.497694964329064,-0.008994964329062327,0.202103
050296,243.451,55.6085,0.35087,41.2532,0.161378,41.22596731692202,0.027232683077976105,0.161378
