CID,RA,DEC,zCMB,MU_SH0ES,MU_SH0ES_ERR_DIAG,mu_model,resid_mu,resid_mu_err,n_025cdeg,n_050cdeg,n_100cdeg,n_200cdeg,n_300cdeg,n_500cdeg
000137,161.159,57.8111,0.11878,38.5629,0.212381,38.60345455023139,-0.0405545502313913,0.212381,11947,47060,184648,737925,1666617,4506377
000190,148.988,2.2635,0.10237,38.4085,0.187412,38.257946708289325,0.150553291710672,0.187412,16076,63668,256325,1024085,2259482,6363534
000196,150.115,2.694,0.35066,41.2342,0.163121,41.22445868008809,0.0097413199119102,0.163121,17652,71443,263541,1006289,2265748,6320893
000220,150.537,2.7186,0.21982,40.0616,0.124319,40.06846989984891,-0.0068698998489082,0.124319,16598,68292,262261,1002547,2273467,6291616
000420,149.82,1.6135,0.31152,41.0123,0.141744,40.92756648694648,0.0847335130535285,0.141744,14969,65126,271318,1015284,2253335,6362278
010026,160.674,58.8438,0.03174,35.6746,0.20211,35.611131894952905,0.0634681050470931,0.20211,10861,43649,180997,733460,1654685,4499760
020090,212.879,53.5796,0.40995,41.6836,0.279968,41.62040238271712,0.0631976172828814,0.279968,11031,44997,179633,749475,1642062,4561638
020096,161.314,58.1927,0.22563,39.9865,0.175963,40.13196404296932,-0.1454640429693157,0.175963,12376,47946,182798,738444,1669475,4506658
03D1au,36.0432,-4.0375,0.50309,42.1444,0.228687,42.14601286532552,-0.0016128653255194,0.228687,27353,111580,437570,1695136,3836750,10623901
03D1aw,36.0616,-4.5172,0.58073,42.7061,0.239821,42.51860366297305,0.1874963370269498,0.239821,26497,109486,429574,1704963,3824744,10549940
03D1bp,36.6572,-4.8388,0.34594,41.3318,0.136683,41.19032803835758,0.1414719616424236,0.136683,26522,104589,417035,1718353,3788989,10498798
03D4dy,333.711,-17.9565,0.60826,42.5904,0.228388,42.63950192185747,-0.0491019218574706,0.228388,0,0,0,0,0,780932
03D4fd,334.06,-17.3956,0.78905,43.3837,0.271177,43.32368456709361,0.0600154329063897,0.271177,0,0,0,0,52038,1172847
040137,214.46,52.801,0.44756,41.8552,0.223954,41.84484757534799,0.0103524246520123,0.223954,10582,45124,179770,715443,1634386,4585988
040150,162.098,57.1482,0.38174,41.5615,0.198898,41.4391329145036,0.1223670854963998,0.198898,11734,48054,186818,751473,1675293,4539443
040201,184.46,47.4468,0.27987,40.5664,0.153331,40.6611242016092,-0.0947242016091962,0.153331,13286,51348,194083,772326,1681891,4580970
040780,243.62,54.7258,0.23066,40.0717,0.296847,40.185724173516704,-0.1140241735167038,0.296847,13745,53323,210719,820965,1830210,5059653
040782,242.077,54.9081,0.33739,41.0098,0.23724,41.127391564297135,-0.1175915642971361,0.23724,11969,49703,200593,807879,1806416,5014587
04D1ks,36.0396,-4.9787,0.79656,42.9026,0.372096,43.34872183934219,-0.4461218393421902,0.372096,26489,102937,421732,1710610,3809067,10518274
04D1pp,36.302,-4.7016,0.73362,42.9845,0.195902,43.13143787158884,-0.1469378715888396,0.195902,25562,107296,421704,1709340,3804797,10525556
04D1qd,36.6378,-4.1072,0.7656,43.2369,0.225434,43.2439955810626,-0.0070955810626003,0.225434,26429,106185,426641,1681299,3804825,10587955
04D2cf,150.484,1.8795,0.37059,41.3759,0.163241,41.36404320495852,0.0118567950414814,0.163241,17212,68093,264455,1014580,2267038,6335425
04D2fp,149.867,2.321,0.41664,41.7295,0.149208,41.66168936418367,0.067810635816329,0.149208,19642,69108,268320,1011102,2257692,6346114
04D2mh,149.941,2.141,0.59184,42.4508,0.255828,42.56803277595431,-0.1172327759543065,0.255828,18122,69678,270470,1012943,2257360,6348807
04D2mj,150.152,2.5771,0.51475,42.3259,0.402924,42.2052798829697,0.1206201170302989,0.402924,18419,71964,265309,1005881,2264897,6320641
04D3do,214.442,52.2676,0.61064,42.6686,0.184238,42.64970903870903,0.0188909612909711,0.184238,12222,46890,183914,716165,1619821,4565091
04D3ez,214.783,53.072,0.26348,40.3997,0.177345,40.51201101823731,-0.1123110182373068,0.177345,11119,43429,176993,717161,1643900,4601491
04D3ks,215.64,52.1852,0.75068,42.9012,0.318716,43.19205787958993,-0.2908578795899288,0.318716,10901,44215,175870,708898,1631074,4603934
04D4id,334.089,-17.229,0.76707,43.5587,0.25715,43.24905982367798,0.30964017632202,0.25715,0,0,0,0,91370,1296262
04D4in,333.786,-17.261,0.51435,42.2259,0.196162,42.203267648026014,0.0226323519739892,0.196162,0,0,0,0,86835,1274335
04D4ju,334.261,-17.3328,0.47039,42.2151,0.404516,41.97267093004389,0.2424290699561098,0.404516,0,0,0,0,62451,1216606
050003,242.219,55.0048,0.42689,41.813,0.229539,41.72376753210033,0.0892324678996701,0.229539,12093,50444,200366,806756,1808583,5017991
050005,211.812,53.9976,0.52851,42.0855,0.188829,42.27362253528853,-0.1881225352885209,0.188829,12098,48881,195292,754197,1643957,4552754
050201,241.703,54.9809,0.55011,42.3253,0.19588,42.377604486296505,-0.0523044862965065,0.19588,12930,50409,197924,801056,1798329,5001012
050203,242.793,55.1223,0.57609,42.4887,0.202103,42.49769496432906,-0.0089949643290623,0.202103,12797,50374,204341,806311,1818304,5034409
050296,243.451,55.6085,0.35087,41.2532,0.161378,41.22596731692202,0.0272326830779761,0.161378,12360,50441,201132,803715,1825116,5037188
050301,244.724,55.7829,0.34704,41.1174,0.244272,41.19832050921708,-0.0809205092170799,0.244272,12899,51565,204832,812252,1832890,5076589
050303,241.437,56.0744,0.32829,41.3079,0.308428,41.05876672249343,0.2491332775065657,0.308428,10965,44772,190227,775943,1800400,4969306
050607,213.514,53.3622,0.43926,41.8262,0.202784,41.79686616687528,0.0293338331247241,0.202784,11242,44145,177019,743934,1633685,4574996
05D1cb,36.7377,-4.1176,0.63071,42.6632,0.202856,42.73431252251416,-0.0711125225141557,0.202856,26515,105929,425401,1681449,3802339,10583678
05D1ee,36.1948,-4.0005,0.55775,42.4389,0.195189,42.41346531451403,0.025434685485969,0.195189,27814,109264,436384,1688138,3828830,10621613
05D1hm,36.9426,-4.7173,0.58575,42.707,0.37297,42.5410476974579,0.1659523025421023,0.37297,25647,102940,420106,1709987,3784443,10510591
