CID,RA,DEC,zCMB,MU_SH0ES,MU_SH0ES_ERR_DIAG,mu_model,resid_mu,resid_mu_err,n_05deg,n_10deg,n_20deg,n_025cdeg,n_300cdeg,n_500cdeg
000137,161.159,57.8111,0.11878,38.5629,0.212381,38.60345455023139,-0.0405545502313913,0.212381,47060,184648,737925,11947,1666617,4506377
03D1bp,36.6572,-4.8388,0.34594,41.3318,0.136683,41.19032803835758,0.1414719616424236,0.136683,104589,417035,1718353,26522,3788989,10498798
040137,214.46,52.801,0.44756,41.8552,0.223954,41.84484757534799,0.0103524246520123,0.223954,45124,179770,715443,10582,1634386,4585988
040150,162.098,57.1482,0.38174,41.5615,0.198898,41.4391329145036,0.1223670854963998,0.198898,48054,186818,751473,11734,1675293,4539443
040201,184.46,47.4468,0.27987,40.5664,0.153331,40.6611242016092,-0.0947242016091962,0.153331,51348,194083,772326,13286,1681891,4580970
040780,243.62,54.7258,0.23066,40.0717,0.296847,40.185724173516704,-0.1140241735167038,0.296847,53323,210719,820965,13745,1830210,5059653
040782,242.077,54.9081,0.33739,41.0098,0.23724,41.127391564297135,-0.1175915642971361,0.23724,49703,200593,807879,11969,1806416,5014587
04D3ez,214.783,53.072,0.26348,40.3997,0.177345,40.51201101823731,-0.1123110182373068,0.177345,43429,176993,717161,11119,1643900,4601491
04D4id,334.089,-17.229,0.76707,43.5587,0.25715,43.24905982367798,0.30964017632202,0.25715,0,0,0,0,91370,1296262
04D4ju,334.261,-17.3328,0.47039,42.2151,0.404516,41.97267093004389,0.2424290699561098,0.404516,0,0,0,0,62451,1216606
050003,242.219,55.0048,0.42689,41.813,0.229539,41.72376753210033,0.0892324678996701,0.229539,50444,200366,806756,12093,1808583,5017991
050005,211.812,53.9976,0.52851,42.0855,0.188829,42.27362253528853,-0.1881225352885209,0.188829,48881,195292,754197,12098,1643957,4552754
050201,241.703,54.9809,0.55011,42.3253,0.19588,42.377604486296505,-0.0523044862965065,0.19588,50409,197924,801056,12930,1798329,5001012
050203,242.793,55.1223,0.57609,42.4887,0.202103,42.49769496432906,-0.0089949643290623,0.202103,50374,204341,806311,12797,1818304,5034409
050301,244.724,55.7829,0.34704,41.1174,0.244272,41.19832050921708,-0.0809205092170799,0.244272,51565,204832,812252,12899,1832890,5076589
050303,241.437,56.0744,0.32829,41.3079,0.308428,41.05876672249343,0.2491332775065657,0.308428,44772,190227,775943,10965,1800400,4969306
05D1ke,36.6929,-4.8625,0.68867,42.8137,0.226508,42.96498658679509,-0.151286586795095,0.226508,104564,418113,1719492,26935,3786268,10495316
05D2ac,149.747,2.4895,0.48071,41.9748,0.139221,42.02856228366798,-0.0537622836679787,0.139221,67448,265716,1010754,17004,2267851,6342880
05D2bt,150.418,2.5662,0.68195,42.8376,0.239367,42.93921201426994,-0.1016120142699392,0.239367,71237,264931,1002973,17867,2269500,6307708
05D3lr,215.551,53.1843,0.6006,42.6116,0.278838,42.60639158042777,0.0052084195722343,0.278838,43589,174153,712207,10973,1648963,4614629
05D4bj,333.749,-18.1334,0.69916,42.9402,0.338462,43.00474388561084,-0.0645438856108384,0.338462,0,0,0,0,0,670958
