CID,RA,DEC,zCMB,MU_SH0ES,MU_SH0ES_ERR_DIAG,mu_model,resid_mu,resid_mu_err,n_05deg,n_10deg,n_20deg,log_rho_05,log_rho_10,log_rho_20,rho_05_std,rho_10_std,rho_20_std,grad_logrho_logr,abs_grad,multiscale_var,sparse_reconnection,neck_score,abs_resid,low_density_tail,high_density_bulk
000137,161.159,57.8111,0.11878,38.5629,0.212381,38.60345455023139,-0.0405545502313913,0.212381,47060,184648,737925,4.7775712699028094,4.769197087299049,4.76880294847437,0.14410249938500355,0.15596101178841157,0.17232316986169105,-0.006325006920864911,0.006325006920864911,0.0049525370664382905,0.0,-0.8576278259282809,0.0405545502313913,1,0
03D1bp,36.6572,-4.8388,0.34594,41.3318,0.136683,41.19032803835758,0.1414719616424236,0.136683,104589,417035,1718353,5.1244002816313365,5.123023673710109,5.135902774174761,0.4033962613851817,0.3923164394695799,0.39371364042876966,0.008297294475130645,0.008297294475130645,0.007071935294516179,0.011502492543424836,-0.6600748225424804,0.1414719616424236,0,0
040137,214.46,52.801,0.44756,41.8552,0.223954,41.84484757534799,0.0103524246520123,0.223954,45124,179770,715443,4.759327333547543,4.757569761556396,4.755365781840601,0.1304631014935967,0.1481939822484088,0.16421948678730508,-0.002857655500915065,0.002857655500915065,0.0019849633841489546,0.0,-0.890467799813548,0.0103524246520123,1,0
040150,162.098,57.1482,0.38174,41.5615,0.198898,41.4391329145036,0.1223670854963998,0.198898,48054,186818,751473,4.7866487002208595,4.774271170375193,4.776704095149846,0.15088890126277957,0.1593504887853675,0.17708819141179857,-0.007173516209775344,0.007173516209775344,0.006557661397911138,0.0,-0.8442157003054263,0.1223670854963998,1,0
040201,184.46,47.4468,0.27987,40.5664,0.153331,40.6611242016092,-0.0947242016091962,0.153331,51348,194083,772326,4.815442108948611,4.790839861570461,4.7885913537064,0.17241521831630005,0.17041834022439234,0.1842571563127409,-0.01936872571603028,0.01936872571603028,0.01489568964917659,0.0,-0.7415529273365963,0.0947242016091962,0,0
040780,243.62,54.7258,0.23066,40.0717,0.296847,40.185724173516704,-0.1140241735167038,0.296847,53323,210719,820965,4.831832838384848,4.826555884923574,4.815115307326157,0.18466913524287937,0.19427656993042264,0.2002532155916408,-0.012059149577140448,0.012059149577140448,0.008546040977096539,0.0,-0.8113562369843639,0.1140241735167038,0,0
040782,242.077,54.9081,0.33739,41.0098,0.23724,41.127391564297135,-0.1175915642971361,0.23724,49703,200593,807879,4.801301459238887,4.8051680659311335,4.808136992781992,0.16184348949209518,0.17998955109331088,0.19604473541121517,0.0049307951722335226,0.0049307951722335226,0.0034275767138795825,0.0068355335431045106,-0.7681314092361392,0.1175915642971361,0,0
04D3ez,214.783,53.072,0.26348,40.3997,0.177345,40.51201101823731,-0.1123110182373068,0.177345,43429,176993,717161,4.742699947996058,4.7508086715713,4.7564074056751755,0.11803225745784245,0.1436775881265672,0.164847669027518,0.009887840608429331,0.009887840608429331,0.006891923021556911,0.013707457679117852,-0.6206542977519319,0.1123110182373068,1,0
04D4id,334.089,-17.229,0.76707,43.5587,0.25715,43.24905982367798,0.30964017632202,0.25715,0,0,0,0.10491011863382857,-0.4971498726941338,-1.0992098640220962,-3.3492381598242233,-3.361947861798997,-3.3665565214419995,-0.8685889638065035,0.8685889638065035,0.6020599913279623,0.0,6.44743368343028,0.30964017632202,1,0
04D4ju,334.261,-17.3328,0.47039,42.2151,0.404516,41.97267093004389,0.2424290699561098,0.404516,0,0,0,0.10491011863382857,-0.4971498726941338,-1.0992098640220962,-3.3492381598242233,-3.361947861798997,-3.3665565214419995,-0.8685889638065035,0.8685889638065035,0.6020599913279623,0.0,6.44743368343028,0.2424290699561098,1,0
050003,242.219,55.0048,0.42689,41.813,0.229539,41.72376753210033,0.0892324678996701,0.229539,50444,200366,806756,4.807728245004146,4.804676323053774,4.8075328783193365,0.16664823592993763,0.17966106786861466,0.19568040621299645,-0.00014092727366468366,0.00014092727366468366,0.0017084253821336812,0.0,-0.9036685797456493,0.0892324678996701,0,0
050005,211.812,53.9976,0.52851,42.0855,0.188829,42.27362253528853,-0.1881225352885209,0.188829,48881,195292,754197,4.794059085328115,4.7935368042042885,4.778275512376708,0.15642899902667246,0.1722198923240112,0.17803588131780296,-0.011385441212252092,0.011385441212252092,0.008965684403428355,0.0,-0.8116437293310202,0.1881225352885209,0,0
050201,241.703,54.9809,0.55011,42.3253,0.19588,42.377604486296505,-0.0523044862965065,0.19588,50409,197924,801056,4.807426816071979,4.799350780917616,4.804453555813355,0.16642288384244172,0.1761036167398201,0.19382332917046077,-0.002144753915194773,0.002144753915194773,0.004084542651195303,0.0,-0.8806463389196254,0.0523044862965065,0,0
