CID,RA,DEC,zCMB,MU_SH0ES,MU_SH0ES_ERR_DIAG,mu_model,resid_mu,resid_mu_err,n_05deg,n_10deg,n_20deg,n_025cdeg,n_300cdeg,n_500cdeg,log_rho_025,log_rho_050,log_rho_100,log_rho_200,log_rho_300,log_rho_500,rho_100_std,full_grad_logrho_logr,abs_full_grad,multiscale_var,grad_0.25-1.00deg,abs_grad_0.25-1.00deg,grad_0.50-2.00deg,abs_grad_0.50-2.00deg,grad_1.00-3.00deg,abs_grad_1.00-3.00deg,grad_2.00-5.00deg,abs_grad_2.00-5.00deg,best_window_abs_grad,graph_degree,neighbor_log_rho_mean,neighbor_log_rho_std,own_minus_neighbor,abs_own_minus_neighbor,neighbor_high_low_pairs,corridor_betweenness,graph_neck_score,abs_resid
000137,161.159,57.8111,0.11878,38.5629,0.212381,38.60345455023139,-0.0405545502313913,0.212381,47060,184648,737925,11947,1666617,4506377,4.784265323893882,4.7775712699028094,4.769197087299049,4.76880294847437,4.770443685898874,4.758737736653879,0.15596101178841157,-0.007118531188689762,0.007118531188689762,0.008676202130786974,-0.010869435105153527,0.010869435105153527,-0.006325006920864911,0.006325006920864911,0.0009512854334644785,0.0009512854334644785,-0.011492380916624188,0.011492380916624188,0.006325006920864911,2,4.78417989688403,0.007846995147098293,-0.014982809584981105,0.014982809584981105,0.0,0.0,-1.2883085192050732,0.0405545502313913
03D1bp,36.6572,-4.8388,0.34594,41.3318,0.136683,41.19032803835758,0.1414719616424236,0.136683,104589,417035,1718353,26522,3788989,10498798,5.130592755251041,5.1244002816313365,5.123023673710109,5.135902774174761,5.127131076941865,5.126049739846159,0.3923164394695799,7.565806420576424e-05,7.565806420576424e-05,0.004718509246070793,-0.005459938201593674,0.005459938201593674,0.008297294475130645,0.008297294475130645,0.005336924995433825,0.005336924995433825,-0.010385712875131264,0.010385712875131264,0.008297294475130645,6,5.130687714569036,0.010557906515492621,-0.007664040858927024,0.007664040858927024,0.0,0.0015181377202695791,-1.1144357707177586,0.1414719616424236
040137,214.46,52.801,0.44756,41.8552,0.223954,41.84484757534799,0.0103524246520123,0.223954,45124,179770,715443,10582,1634386,4585988,4.731578906088349,4.759327333547543,4.757569761556396,4.755365781840601,4.761962517103562,4.766343127325823,0.1481939822484088,0.008633050125013355,0.008633050125013355,0.012250596183788858,0.018748439146106462,0.018748439146106462,-0.002857655500915065,0.002857655500915065,0.003225502864233314,0.003225502864233314,0.0118353368975112,0.0118353368975112,0.002857655500915065,7,4.7688523479225795,0.029260361774997422,-0.011282586366183622,0.011282586366183622,0.0,0.0,-1.2664285316176298,0.0103524246520123
040150,162.098,57.1482,0.38174,41.5615,0.198898,41.4391329145036,0.1223670854963998,0.198898,48054,186818,751473,11734,1675293,4539443,4.776453203896402,4.7866487002208595,4.774271170375193,4.776704095149846,4.772698650954877,4.761912781508761,0.1593504887853675,-0.0050416646094359275,0.0050416646094359275,0.007968990138788115,-0.0015740044700510484,0.0015740044700510484,-0.007173516209775344,0.007173516209775344,-0.0008992755923328208,0.0008992755923328208,-0.01635414852018757,0.01635414852018757,0.007173516209775344,7,4.791379095876396,0.01589232135311391,-0.017107925501202992,0.017107925501202992,0.0,0.0,-1.280087876436308,0.1223670854963998
040201,184.46,47.4468,0.27987,40.5664,0.153331,40.6611242016092,-0.0947242016091962,0.153331,51348,194083,772326,13286,1681891,4580970,4.830397044966213,4.815442108948611,4.790839861570461,4.7885913537064,4.774405722699457,4.765867661101936,0.17041834022439234,-0.02132054863087592,0.02132054863087592,0.02448965433531148,-0.028534476158292837,0.028534476158292837,-0.01936872571603028,0.01936872571603028,-0.01369749346652746,0.01369749346652746,-0.024455632282959057,0.024455632282959057,0.01936872571603028,7,4.785901737965937,0.02024341592818857,0.004938123604524058,0.004938123604524058,0.0,0.0,-1.2756419666945682,0.0947242016091962
040780,243.62,54.7258,0.23066,40.0717,0.296847,40.185724173516704,-0.1140241735167038,0.296847,53323,210719,820965,13745,1830210,5059653,4.845146449534832,4.831832838384848,4.826555884923574,4.815115307326157,4.811108779101473,4.809030937641904,0.19427656993042264,-0.012210376470028081,0.012210376470028081,0.01399806219572904,-0.013410257685993783,0.013410257685993783,-0.012059149577140448,0.012059149577140448,-0.0143238122437803,0.0143238122437803,-0.006530757355950955,0.006530757355950955,0.012059149577140448,5,4.791321830933312,0.025547340676387913,0.035234053990262026,0.035234053990262026,0.0,0.0,-1.2702224635556205,0.1140241735167038
040782,242.077,54.9081,0.33739,41.0098,0.23724,41.127391564297135,-0.1175915642971361,0.23724,49703,200593,807879,11969,1806416,5014587,4.785064260368202,4.801301459238887,4.8051680659311335,4.808136992781992,4.805425629566263,4.805145375695792,0.17998955109331088,0.005858547862131814,0.005858547862131814,0.008439427274235634,0.014501830294318742,0.014501830294318742,0.0049307951722335226,0.0049307951722335226,0.0006704287921910618,0.0006704287921910618,-0.003149347470898218,0.003149347470898218,0.0049307951722335226,7,4.788857314698022,0.03286706491332278,0.016310751233111986,0.016310751233111986,0.0,0.0,-1.2627432344259526,0.1175915642971361
04D3ez,214.783,53.072,0.26348,40.3997,0.177345,40.51201101823731,-0.1123110182373068,0.177345,43429,176993,717161,11119,1643900,4601491,4.75307489720783,4.742699947996058,4.7508086715713,4.7564074056751755,4.764483277513199,4.7678087899472095,0.1436775881265672,0.006580224973150533,0.006580224973150533,0.009207511209475161,-0.0016347362436783168,0.0016347362436783168,0.009887840608429331,0.009887840608429331,0.011976603351102634,0.011976603351102634,0.012190541423235765,0.012190541423235765,0.009887840608429331,8,4.793788955404349,0.022782195755180968,-0.04298028383304864,0.04298028383304864,0.0,0.0,-1.2730478640451757,0.1123110182373068
04D4id,334.089,-17.229,0.76707,43.5587,0.25715,43.24905982367798,0.30964017632202,0.25715,0,0,0,0,91370,1296262,0.706970109961791,0.10491011863382857,-0.4971498726941338,-1.0992098640220962,3.5094159958931774,4.217603243517872,-3.361947861798997,1.142528255729642,1.142528255729642,2.1925906118407092,-0.8685889638065036,0.8685889638065036,-0.8685889638065035,0.8685889638065035,3.160692773743719,3.160692773743719,5.614638142724764,5.614638142724764,0.8685889638065035,2,-0.4971498726941338,0.0,0.0,0.0,0.0,0.0,-1.2963265090616305,0.30964017632202
04D4ju,334.261,-17.3328,0.47039,42.2151,0.404516,41.97267093004389,0.2424290699561098,0.404516,0,0,0,0,62451,1216606,0.706970109961791,0.10491011863382857,-0.4971498726941338,-1.0992098640220962,3.3441539689042465,4.190060429571047,-3.361947861798997,1.1138195303948593,1.1138195303948593,2.150025667132263,-0.8685889638065036,0.8685889638065036,-0.8685889638065035,0.8685889638065035,3.026463185234212,3.026463185234212,5.597329163021166,5.597329163021166,0.8685889638065035,3,1.3875345491855586,3.264369174929204,-1.8846844218796925,1.8846844218796925,2.0,0.0,3.3773420558119365,0.2424290699561098
