CID,RA,DEC,zCMB,MU_SH0ES,MU_SH0ES_ERR_DIAG,mu_model,resid_mu,resid_mu_err,n_025cdeg,n_050cdeg,n_100cdeg,n_200cdeg,n_300cdeg,n_500cdeg,log_rho_025,log_rho_050,log_rho_100,log_rho_200,log_rho_300,log_rho_500,rho_100_std,full_grad_logrho_logr,abs_full_grad,multiscale_var,best_window_abs_grad,graph_degree,neighbor_log_rho_mean,neighbor_log_rho_std,own_minus_neighbor,abs_own_minus_neighbor,neighbor_high_low_pairs,corridor_betweenness,graph_neck_score,abs_resid
000137,161.159,57.8111,0.11878,38.5629,0.212381,38.60345455023139,-0.0405545502313913,0.212381,11947,47060,184648,737925,1666617,4506377,4.784265323893882,4.7775712699028094,4.769197087299049,4.76880294847437,4.770443685898874,4.758737736653879,0.12624690923446452,-0.007118531188689762,0.007118531188689762,0.008676202130786974,0.006325006920864911,4,4.779443660647966,0.015086741495828497,-0.01024657334891721,0.01024657334891721,0.0,0.0,-1.0606121175262837,0.0405545502313913
000190,148.988,2.2635,0.10237,38.4085,0.187412,38.257946708289325,0.150553291710672,0.187412,16076,63668,256325,1024085,2259482,6363534,4.913175121725065,4.908838147421929,4.91164278766036,4.911126565036809,4.9026166959816635,4.908608555744089,0.22889311793748315,-0.001923188831655709,0.001923188831655709,0.0037200084919312764,0.001650744372234899,4,4.90422839232141,0.009206819559579655,0.007414395338949831,0.007414395338949831,0.0,0.0,-1.0676610265399842,0.150553291710672
000196,150.115,2.694,0.35066,41.2342,0.163121,41.22445868008809,0.0097413199119102,0.163121,17652,71443,263541,1006289,2265748,6320893,4.953788631171843,4.958875880433919,4.923699964747042,4.903513292890731,4.903819414853456,4.905688625999864,0.23758150595108884,-0.020739210814916698,0.020739210814916698,0.025539039587907902,0.039935665249669225,7,4.92545454834958,0.01063212635524866,-0.0017545836025378847,0.0017545836025378847,0.0,0.0,-1.0659523545494016,0.0097413199119102
000220,150.537,2.7186,0.21982,40.0616,0.124319,40.06846989984891,-0.0068698998489082,0.124319,16598,68292,262261,1002547,2273467,6291616,4.927052034895606,4.939286309618869,4.92158549610493,4.9018953109220815,4.905296463576692,4.903672395863963,0.23605782226682365,-0.011497111705770785,0.011497111705770785,0.015230099977016858,0.026971904196870688,2,4.91477460579058,0.021545968311493347,0.006810890314350004,0.006810890314350004,0.0,0.0,-1.0528687320500603,0.0068698998489082
000420,149.82,1.6135,0.31152,41.0123,0.141744,40.92756648694648,0.0847335130535285,0.141744,14969,65126,271318,1015284,2253335,6362278,4.882191910304844,4.91867119199518,4.93633033502333,4.9073781058660195,4.9014335730461775,4.908522828595941,0.24668293632131252,0.0031522871810900775,0.0031522871810900775,0.017995640782622956,0.008146239677436194,7,4.924336831739888,0.009789379831711603,0.011993503283441953,0.011993503283441953,0.0,0.0,-1.0669626474802318,0.0847335130535285
010026,160.674,58.8438,0.03174,35.6746,0.20211,35.611131894952905,0.0634681050470931,0.20211,10861,43649,180997,733460,1654685,4499760,4.7428799084183995,4.7448943666754175,4.760523903314484,4.766167162221158,4.767323210295246,4.75809956593414,0.11999702277849417,0.007496872649904929,0.007496872649904929,0.01048248516841907,0.015345078319842059,6,4.76243469170082,0.012448824116892071,-0.0019107883863362929,0.0019107883863362929,0.0,0.0,-1.0637744791683916,0.0634681050470931
020090,212.879,53.5796,0.40995,41.6836,0.279968,41.62040238271712,0.0631976172828814,0.279968,11031,44997,179633,749475,1642062,4561638,4.749624363129584,4.758103330003253,4.757238667960578,4.775547866244991,4.763997433273283,4.764031031641214,0.11762968594122748,0.0055523474053711195,0.0055523474053711195,0.008725572233302276,0.012583572963281225,7,4.759036974283234,0.017341648358171067,-0.0017983063226560958,0.0017983063226560958,0.0,0.0,-1.05790891270837,0.0631976172828814
020096,161.314,58.1927,0.22563,39.9865,0.175963,40.13196404296932,-0.1454640429693157,0.175963,12376,47946,182798,738444,1669475,4506658,4.799585500903346,4.785671557581492,4.764823942906798,4.769108290214884,4.771187797985002,4.758764816704578,0.12309562638888293,-0.011847659727307778,0.011847659727307778,0.015063762598222173,0.011947871845361412,8,4.783491646576297,0.017246243167940375,-0.018667703669499325,0.018667703669499325,0.0,0.0,-1.0580232854011817,0.1454640429693157
03D1au,36.0432,-4.0375,0.50309,42.1444,0.228687,42.14601286532552,-0.0016128653255194,0.228687,27353,111580,437570,1695136,3836750,10623901,5.143990952547397,5.152500367915884,5.1438986587360915,5.129994939366353,5.132571232849333,5.131194174534321,0.39625643290220874,-0.006601777601480218,0.006601777601480218,0.00910509426185053,0.016234235080745094,7,5.1322527137768335,0.014833682275931495,0.011645944959258081,0.011645944959258081,0.0,0.0008783982514310422,-0.9066887595786229,0.0016128653255194
03D1aw,36.0616,-4.5172,0.58073,42.7061,0.239821,42.51860366297305,0.1874963370269498,0.239821,26497,109486,429574,1704963,3824744,10549940,5.13018320571964,5.144272674673602,5.135889126072843,5.132505349355448,5.131210103425576,5.128160149504878,0.3904847728290718,-0.00233803362327307,0.00233803362327307,0.005783739492100063,0.00848833094051432,8,5.132640473052712,0.007531872162668032,0.0032486530201314423,0.0032486530201314423,0.0,0.010808512773001277,0.828059714195645,0.1874963370269498
03D1bp,36.6572,-4.8388,0.34594,41.3318,0.136683,41.19032803835758,0.1414719616424236,0.136683,26522,104589,417035,1718353,3788989,10498798,5.130592755251041,5.1244002816313365,5.123023673710109,5.135902774174761,5.127131076941865,5.126049739846159,0.3812139425763204,7.565806420576424e-05,7.565806420576424e-05,0.004718509246070793,0.008297294475130645,4,5.1300987101464885,0.0045221341347488914,-0.007075036436379634,0.007075036436379634,0.0,0.003202299468200295,-0.5110262182949636,0.1414719616424236
03D4dy,333.711,-17.9565,0.60826,42.5904,0.228388,42.63950192185747,-0.0491019218574706,0.228388,0,0,0,0,0,780932,0.706970109961791,0.10491011863382857,-0.4971498726941338,-1.0992098640220962,-1.4513923821334587,3.9975238938959317,-3.668676684716224,0.4126714628268038,0.4126714628268038,1.9766504001795115,0.8685889638065035,7,-0.49714987269413374,5.99588961666477e-17,-5.551115123125783e-17,5.551115123125783e-17,0.0,0.0,-1.0786982535788243,0.0491019218574706
03D4fd,334.06,-17.3956,0.78905,43.3837,0.271177,43.32368456709361,0.0600154329063897,0.271177,0,0,0,0,52038,1172847,0.706970109961791,0.10491011863382857,-0.4971498726941338,-1.0992098640220962,3.2649365602784832,4.1741518502389905,-3.668676684716224,1.099469768501098,1.099469768501098,2.129269874611538,0.8685889638065035,5,-0.4971498726941338,0.0,0.0,0.0,0.0,0.0,-1.0786982535788243,0.0600154329063897
040137,214.46,52.801,0.44756,41.8552,0.223954,41.84484757534799,0.0103524246520123,0.223954,10582,45124,179770,715443,1634386,4585988,4.731578906088349,4.759327333547543,4.757569761556396,4.755365781840601,4.761962517103562,4.766343127325823,0.11786827160755783,0.008633050125013355,0.008633050125013355,0.012250596183788858,0.002857655500915065,7,4.758825790127248,0.017451437706414132,-0.0012560285708520524,0.0012560285708520524,0.0,0.0,-1.0577772961435876,0.0103524246520123
040150,162.098,57.1482,0.38174,41.5615,0.198898,41.4391329145036,0.1223670854963998,0.198898,11734,48054,186818,751473,1675293,4539443,4.776453203896402,4.7866487002208595,4.774271170375193,4.776704095149846,4.772698650954877,4.761912781508761,0.12990328769368947,-0.0050416646094359275,0.0050416646094359275,0.007968990138788115,0.007173516209775344,3,4.778278803392797,0.029082140119860152,-0.004007633017604206,0.004007633017604206,0.0,0.0,-1.0438342941842604,0.1223670854963998
040201,184.46,47.4468,0.27987,40.5664,0.153331,40.6611242016092,-0.0947242016091962,0.153331,13286,51348,194083,772326,1681891,4580970,4.830397044966213,4.815442108948611,4.790839861570461,4.7885913537064,4.774405722699457,4.765867661101936,0.14184266761215364,-0.02132054863087592,0.02132054863087592,0.02448965433531148,0.01936872571603028,4,4.799400272602873,0.010169889104918927,-0.008560411032411785,0.008560411032411785,0.0,0.0,-1.066506489171535,0.0947242016091962
040780,243.62,54.7258,0.23066,40.0717,0.296847,40.185724173516704,-0.1140241735167038,0.296847,13745,53323,210719,820965,1830210,5059653,4.845146449534832,4.831832838384848,4.826555884923574,4.815115307326157,4.811108779101473,4.809030937641904,0.16757959317639676,-0.012210376470028081,0.012210376470028081,0.01399806219572904,0.012059149577140448,4,4.781051920734778,0.0330048705712515,0.04550396418879643,0.04550396418879643,0.0,0.0,-1.0391316858270532,0.1140241735167038
040782,242.077,54.9081,0.33739,41.0098,0.23724,41.127391564297135,-0.1175915642971361,0.23724,11969,49703,200593,807879,1806416,5014587,4.785064260368202,4.801301459238887,4.8051680659311335,4.808136992781992,4.805425629566263,4.805145375695792,0.15216755528103082,0.005858547862131814,0.005858547862131814,0.008439427274235634,0.0049307951722335226,8,4.811507813277804,0.016715964258540637,-0.006339747346670421,0.006339747346670421,0.0,0.0,-1.0586589890422795,0.1175915642971361
04D1ks,36.0396,-4.9787,0.79656,42.9026,0.372096,43.34872183934219,-0.4461218393421902,0.372096,26489,102937,421732,1710610,3809067,10518274,5.130052068259022,5.117485844648215,5.127887712568228,5.133941396389317,5.129426343680851,5.126854639876551,0.38471896341235595,0.0013778972544983743,0.0013778972544983743,0.005522600343728678,0.01187017144598998,2,5.130386305739311,0.0035743231241388363,-0.00249859317108303,0.00249859317108303,0.0,0.0,-1.0744133193975904,0.4461218393421902
04D1pp,36.302,-4.7016,0.73362,42.9845,0.195902,43.13143787158884,-0.1469378715888396,0.195902,25562,107296,421704,1709340,3804797,10525556,5.114581929987723,5.135497697993445,5.12785887762008,5.133618845653301,5.128939222517399,5.1271552060988475,0.38469818498171204,0.002668423450247091,0.002668423450247091,0.007340667901309497,0.0013553054768440738,3,5.128315427769589,0.004400067472938112,-0.00045655014950884976,0.00045655014950884976,0.0,0.0007934408886537954,-0.9341132590223846,0.1469378715888396
04D1qd,36.6378,-4.1072,0.7656,43.2369,0.225434,43.2439955810626,-0.0070955810626003,0.225434,26429,106185,426641,1681299,3804825,10587955,5.129067273093502,5.130977379978683,5.132913733858541,5.126435348953357,5.128942418534836,5.129722246484436,0.38834070860370085,-0.00047527680086739774,0.00047527680086739774,0.0021720569782167016,0.003276382817900913,3,5.126630475690103,0.0021526746332922063,0.006283258168438444,0.006283258168438444,0.0,0.0007934408886537954,-0.9368074559550079,0.0070955810626003
04D2cf,150.484,1.8795,0.37059,41.3759,0.163241,41.36404320495852,0.0118567950414814,0.163241,17212,68093,264455,1014580,2267038,6335425,4.9428266787147646,4.938018965029879,4.925203552082428,4.907076861027671,4.904066609249832,4.906685941204362,0.23866498926465876,-0.014537840298225004,0.014537840298225004,0.017137413303662977,0.02232000999932752,8,4.928172602206668,0.00661086306335289,-0.002969050124239203,0.002969050124239203,0.0,0.0,-1.0707730850577373,0.0118567950414814
04D2fp,149.867,2.321,0.41664,41.7295,0.149208,41.66168936418367,0.067810635816329,0.149208,19642,69108,268320,1011102,2257692,6346114,5.000177926607653,4.944444727452544,4.931504791134039,4.90558553494491,4.902272504317094,4.907418056460133,0.24320565491577073,-0.030293794969530014,0.030293794969530014,0.037387181674263914,0.028030982161856753,8,4.929099719385814,0.003826128862814928,0.0024050717482246853,0.0024050717482246853,0.0,0.0,-1.0741114521686883,0.067810635816329
04D2mh,149.941,2.141,0.59184,42.4508,0.255828,42.56803277595431,-0.1172327759543065,0.255828,18122,69678,270470,1012943,2257360,6348807,4.96520020041092,4.9480120278894875,4.934970834030722,4.906375572292531,4.90220863541619,4.90760231201762,0.24570328146149395,-0.022037743040340726,0.022037743040340726,0.025998492564006912,0.030034354004961093,6,4.929366148795082,0.0033367453900416096,0.005604685235639728,0.005604685235639728,0.0,0.0,-1.0746981299528136,0.1172327759543065
04D2mj,150.152,2.5771,0.51475,42.3259,0.402924,42.2052798829697,0.1206201170302989,0.402924,18419,71964,265309,1005881,2264897,6320641,4.972259735822621,4.96203144836255,4.926603746918694,4.903337172607729,4.90365626614271,4.905671311298636,0.2396739680616576,-0.025974661980970263,0.025974661980970263,0.03102677653857197,0.04233897028002528,6,4.929244641432401,0.0038533362714644214,-0.0026408945137070816,0.0026408945137070816,0.0,0.0,-1.074078835656063,0.1206201170302989
04D3do,214.442,52.2676,0.61064,42.6686,0.184238,42.64970903870903,0.0188909612909711,0.184238,12222,46890,183914,716165,1619821,4565091,4.7941479217229475,4.775999613259028,4.767467278792803,4.755803835001054,4.758074911010986,4.764359652900581,0.12500041120400088,-0.01075949690910829,0.01075949690910829,0.014129533246464104,0.01456817456983598,8,4.756525557532309,0.01576506989225702,0.010941721260493864,0.010941721260493864,0.0,0.0,-1.0597989306847446,0.0188909612909711
04D3ez,214.783,53.072,0.26348,40.3997,0.177345,40.51201101823731,-0.1123110182373068,0.177345,11119,43429,176993,717161,1643900,4601491,4.75307489720783,4.742699947996058,4.7508086715713,4.7564074056751755,4.764483277513199,4.7678087899472095,0.1129962378999084,0.006580224973150533,0.006580224973150533,0.009207511209475161,0.009887840608429331,5,4.7899822579595455,0.03532739121446792,-0.03917358638824542,0.03917358638824542,0.0,0.0,-1.0363474249348212,0.1123110182373068
04D3ks,215.64,52.1852,0.75068,42.9012,0.318716,43.19205787958993,-0.2908578795899288,0.318716,10901,44215,175870,708898,1631074,4603934,4.744476287653469,4.750489570207547,4.748044360292051,4.751374499697987,4.761081549070684,4.768039302110132,0.11100427835483098,0.006934063517993352,0.006934063517993352,0.008861114012023,0.0006383416936972936,7,4.755861039322474,0.007982677546428433,-0.007816679030423046,0.007816679030423046,0.0,0.0,-1.069128540184571,0.2908578795899288
04D4id,334.089,-17.229,0.76707,43.5587,0.25715,43.24905982367798,0.30964017632202,0.25715,0,0,0,0,91370,1296262,0.706970109961791,0.10491011863382857,-0.4971498726941338,-1.0992098640220962,3.5094159958931774,4.217603243517872,-3.668676684716224,1.142528255729642,1.142528255729642,2.1925906118407092,0.8685889638065035,5,-0.4971498726941338,0.0,0.0,0.0,0.0,0.0,-1.0786982535788243,0.30964017632202
04D4in,333.786,-17.261,0.51435,42.2259,0.196162,42.203267648026014,0.0226323519739892,0.196162,0,0,0,0,86835,1274335,0.706970109961791,0.10491011863382857,-0.4971498726941338,-1.0992098640220962,3.487307427836193,4.210194070735763,-3.668676684716224,1.1378777924457046,1.1378777924457046,2.1857859712184613,0.8685889638065035,6,-0.49714987269413374,6.080941944488117e-17,-5.551115123125783e-17,5.551115123125783e-17,0.0,0.0,-1.0786982535788243,0.0226323519739892
04D4ju,334.261,-17.3328,0.47039,42.2151,0.404516,41.97267093004389,0.2424290699561098,0.404516,0,0,0,0,62451,1216606,0.706970109961791,0.10491011863382857,-0.4971498726941338,-1.0992098640220962,3.3441539689042465,4.190060429571047,-3.668676684716224,1.1138195303948593,1.1138195303948593,2.150025667132263,0.8685889638065035,4,-0.4971498726941338,0.0,0.0,0.0,0.0,0.0,-1.0786982535788243,0.2424290699561098
050003,242.219,55.0048,0.42689,41.813,0.229539,41.72376753210033,0.0892324678996701,0.229539,12093,50444,200366,806756,1808583,5017991,4.789540074231714,4.807728245004146,4.804676323053774,4.8075328783193365,4.8059463023157365,4.80544008323326,0.15181320592622632,0.003922046649584399,0.003922046649584399,0.006930377446953494,0.00014092727366468366,6,4.7978036566805535,0.029270188075880808,0.006872666373220149,0.006872666373220149,0.0,0.0,-1.0436088604205858,0.0892324678996701
050005,211.812,53.9976,0.52851,42.0855,0.188829,42.27362253528853,-0.1881225352885209,0.188829,12098,48881,195292,754197,1643957,4552754,4.789719586689072,4.794059085328115,4.7935368042042885,4.778275512376708,4.764498335814343,4.763184398634319,0.14378608138841872,-0.010836131834235593,0.010836131834235593,0.014139497888403702,0.011385441212252092,8,4.75420689612778,0.010176790302414045,0.0393299080765086,0.0393299080765086,0.0,0.0,-1.0664982159472038,0.1881225352885209
050201,241.703,54.9809,0.55011,42.3253,0.19588,42.377604486296505,-0.0523044862965065,0.19588,12930,50409,197924,801056,1798329,5001012,4.818602221670392,4.807426816071979,4.799350780917616,4.804453555813355,4.803477007170657,4.803968102119894,0.14797562635605913,-0.0040469265107292455,0.0040469265107292455,0.006598137325799796,0.002144753915194773,2,4.808942045044182,0.006032641892148273,-0.009591264126565413,0.009591264126565413,0.0,0.0,-1.0714662623600566,0.0523044862965065
050203,242.793,55.1223,0.57609,42.4887,0.202103,42.49769496432906,-0.0089949643290623,0.202103,12797,50374,204341,806311,1818304,5034409,4.8141122157948635,4.807125177782995,4.81320776703459,4.807293259246191,4.808274350826772,4.806858700026306,0.157960954697665,-0.001854279374786402,0.001854279374786402,0.003286502225425276,0.00012124514670953234,1,4.799350780917616,0.0,0.013856986116973502,0.013856986116973502,0.0,0.0,-1.0786982535788243,0.0089949643290623
050296,243.451,55.6085,0.35087,41.2532,0.161378,41.22596731692202,0.0272326830779761,0.161378,12360,50441,201132,803715,1825116,5037188,4.799023716387266,4.807702416434635,4.806333458678999,4.805892750122055,4.809898328207347,4.807098364928739,0.15300733596177427,0.0022662443160815027,0.0022662443160815027,0.003690322137936451,0.0013053983074114547,7,4.812923702631529,0.01747692768882394,-0.006590243952529384,0.006590243952529384,0.0,0.0,-1.0577467384986536,0.0272326830779761
050301,244.724,55.7829,0.34704,41.1174,0.244272,41.19832050921708,-0.0809205092170799,0.244272,12899,51565,204832,812252,1832890,5076589,4.81755982026104,4.817273562910376,4.814250053063623,4.81048146003437,4.811744256584311,4.810482208584084,0.1587120248176688,-0.002707274536437629,0.002707274536437629,0.003239796450304994,0.00489946656821097,8,4.810372564886243,0.016811248078686596,0.003877488177380428,0.003877488177380428,0.0,0.0,-1.0585447618491348,0.0809205092170799
050303,241.437,56.0744,0.32829,41.3079,0.308428,41.05876672249343,0.2491332775065657,0.308428,10965,44772,190227,775943,1800400,4969306,4.747018351509253,4.755926313749797,4.782124569194881,4.790620515266283,4.803976863354023,4.801205946590349,0.13556243789779568,0.02035585593848964,0.02035585593848964,0.023702725156914184,0.025026576237717837,8,4.815614641825192,0.011711180676084301,-0.03349007263031112,0.03349007263031112,0.0,0.0,-1.064658773476238,0.2491332775065657
050607,213.514,53.3622,0.43926,41.8262,0.202784,41.79686616687528,0.0293338331247241,0.202784,11242,44145,177019,743934,1633685,4574996,4.757852320625821,4.749801477586448,4.75087246371822,4.772325127472004,4.761776205208765,4.765300932252935,0.11304220644799169,0.0046219642226436215,0.0046219642226436215,0.008653123051925386,0.016247378996305212,7,4.759782546961274,0.01712323270419066,-0.008910083243054423,0.008910083243054423,0.0,0.0,-1.0581707515709893,0.0293338331247241
05D1cb,36.7377,-4.1176,0.63071,42.6632,0.202856,42.73431252251416,-0.0711125225141557,0.202856,26515,105929,425401,1681449,3802339,10583678,5.130478120307283,5.129929090916588,5.1316496546848045,5.126474093535815,5.128658566146062,5.129546777983834,0.38742981459738535,-0.0007109047726693409,0.0007109047726693409,0.0017672902055763013,0.002492253793762891,8,5.130152543423062,0.006872847194011415,0.0014971112617425675,0.0014971112617425675,0.0,0.002055743688053851,-0.7095172428021183,0.0711125225141557
05D1ee,36.1948,-4.0005,0.55775,42.4389,0.195189,42.41346531451403,0.025434685485969,0.195189,27814,109264,436384,1688138,3828830,10621613,5.151249174238638,5.143391188716155,5.142719941336771,5.128198339196233,5.131673815400643,5.131100633310994,0.39540705049287195,-0.007360655479360684,0.007360655479360684,0.00906155963477136,0.010959324329681752,8,5.133820180794079,0.0067892765169807945,0.008899760542691482,0.008899760542691482,0.0,0.00538062002549412,-0.1258448657343797,0.025434685485969
05D1hm,36.9426,-4.7173,0.58575,42.707,0.37297,42.5410476974579,0.1659523025421023,0.37297,25647,102940,420106,1709987,3784443,10510591,5.11602361497186,5.117498501436385,5.126210045301954,5.133783198678789,5.1266097010503335,5.126537296611891,0.3835100382997593,0.004493731685706176,0.004493731685706176,0.006611422442790718,0.011746925976997216,8,5.133154382652764,0.007241831781993306,-0.006944337350810237,0.006944337350810237,0.0,0.0005514862796627645,-0.9731882425903947,0.1659523025421023
05D1ix,36.0832,-4.67,0.48881,42.0842,0.199732,42.07165072364906,0.0125492763509456,0.199732,26876,107109,427471,1708747,3816608,10535398,5.136350901272274,5.134740137944487,5.133757800419787,5.133468155235144,5.130285287943924,5.127561106628912,0.38894894200200675,-0.002638748040454726,0.002638748040454726,0.0032074626460859854,0.0009175415734323707,8,5.133306474702373,0.01445660504134421,0.0004513257174139085,0.0004513257174139085,0.0,0.004214220901538508,-0.32144631788956834,0.0125492763509456
05D1ke,36.6929,-4.8625,0.68867,42.8137,0.226508,42.96498658679509,-0.151286586795095,0.226508,26935,104564,418113,1719492,3786268,10495316,5.1373032133418235,5.124296460426017,5.1241448368819995,5.136190548140844,5.126819083560231,5.12590567915793,0.38202185147522094,-0.0016885524022577955,0.0016885524022577955,0.006010023045641591,0.008579770681039808,6,5.130337273168024,0.004610353706661988,-0.006192436286024616,0.006192436286024616,0.0,0.0047228624324630675,-0.24394423334348647,0.151286586795095
05D2ac,149.747,2.4895,0.48071,41.9748,0.139221,42.02856228366798,-0.0537622836679787,0.139221,17004,67448,265716,1010754,2267851,6342880,4.937546746230532,4.933885633832244,4.927269467828349,4.905436034355655,4.904222326958403,4.907196682226131,0.24015368578747948,-0.012679348202238613,0.012679348202238613,0.0153311649807372,0.020522048040075767,8,4.929789266651148,0.0034936456035161503,-0.0025197988227985135,0.0025197988227985135,0.0,0.0,-1.0745100364133067,0.0537622836679787
05D2bt,150.418,2.5662,0.68195,42.8376,0.239367,42.93921201426994,-0.1016120142699392,0.239367,17867,71237,264931,1002973,2269500,6307708,4.959046053761592,4.957621836820367,4.925984545339157,4.902079810969524,4.904537996306672,4.904781768000682,0.23922777211189414,-0.022165261676965448,0.022165261676965448,0.026737077041150387,0.040065102627969064,3,4.9329891893739655,0.0027732955554122473,-0.007004644034808827,0.007004644034808827,0.0,0.0,-1.0753735992296423,0.1016120142699392
05D2bv,150.571,2.2406,0.47572,41.938,0.177112,42.00167869693727,-0.0636786969372664,0.177112,18564,70221,264545,1010183,2263181,6326678,4.9756650635239685,4.9513833131250875,4.925351326585165,4.9051906215492656,4.90332709820989,4.906085918627156,0.23877147540225663,-0.025083315352047875,0.025083315352047875,0.029781988919892352,0.03332098353087586,7,4.929323062917377,0.0026994730763664674,-0.003971736332212039,0.003971736332212039,0.0,0.0,-1.0754620983532024,0.0636786969372664
05D2cb,149.852,2.3282,0.42865,41.8825,0.403543,41.73428724024453,0.1482127597554736,0.403543,19596,68966,268124,1011141,2258503,6345925,4.99915970258529,4.94355145362984,4.931187436834666,4.905602286114819,4.902428481936586,4.907405122109057,0.24297696977073932,-0.029879212255476354,0.029879212255476354,0.03693117876624295,0.027374537889892497,6,4.927613789457126,0.0027911050232321886,0.0035736473775394018,0.0035736473775394018,0.0,0.0,-1.075352249062139,0.1482127597554736
05D2dw,149.634,2.0322,0.41864,41.6174,0.202099,41.673912761206495,-0.0565127612064912,0.202099,16389,67582,267786,1019690,2257660,6353568,4.92154906353229,4.934747584772438,4.930639617213732,4.909258722126182,4.902266348687471,4.90792786937199,0.24258221157867488,-0.008722846536487605,0.008722846536487605,0.013249984647622736,0.018386327868826692,6,4.927705092727282,0.0029160466559046286,0.0029345244864495967,0.0029345244864495967,0.0,0.0,-1.0752024677877818,0.0565127612064912
05D2dy,150.242,2.1831,0.51175,42.3885,0.227281,42.19015224410255,0.1983477558974513,0.227281,19082,72461,268838,1008161,2258105,6343724,4.9876167602579855,4.965020435317951,4.93234239859312,4.904320459806746,4.90235194258329,4.907254466718416,0.24380923389244713,-0.030224025410388978,0.030224025410388978,0.035869893241440416,0.043785776826048325,6,4.928288199486664,0.0036367716270689246,0.004054199106455769,0.004054199106455769,0.0,0.0,-1.0743384555099453,0.1983477558974513
05D2ec,149.859,2.0136,0.6419,42.8476,0.256941,42.780379072206586,0.0672209277934143,0.256941,16152,68118,269976,1013786,2260165,6351110,4.915223303034476,4.938178382444803,4.934176894433166,4.90673685385319,4.902747955348662,4.907759821715562,0.24513116949587044,-0.007901578190018157,0.007901578190018157,0.01509457954272424,0.02268026868854382,3,4.930258406342628,0.0045091686223384655,0.003918488090537409,0.003918488090537409,0.0,0.0,-1.0732926172981196,0.0672209277934143
05D2hc,150.019,1.886,0.35157,41.4798,0.209505,41.230990084835824,0.2488099151641734,0.209505,15638,68027,271016,1010720,2261290,6354284,4.901179089608473,4.937597821672424,4.93584666089109,4.9054214252162085,4.902964072101391,4.907976808374496,0.2463344012950098,-0.004364917892757886,0.004364917892757886,0.01686439006930276,0.023210363800529422,8,4.924692491679632,0.009298961695893938,0.01115416921145762,0.01115416921145762,0.0,0.0,-1.0675505656287254,0.2488099151641734
05D2he,150.361,2.3177,0.60987,42.6876,0.321483,42.64641086924567,0.0411891307543328,0.321483,19185,72818,267281,1006542,2258961,6331340,4.989954550095746,4.9671548292457075,4.929819839658008,4.903622468867575,4.902516543196325,4.90640582347265,0.2419914808099579,-0.031243650839412027,0.031243650839412027,0.03720122341283002,0.04582891062675086,5,4.9308156838629715,0.004241879876300352,-0.0009958442049633476,0.0009958442049633476,0.0,0.0,-1.0736130457105437,0.0411891307543328
05D2mp,149.786,2.204,0.35527,41.4647,0.223042,41.2573863799696,0.2073136200304048,0.223042,18567,68042,268370,1015089,2256575,6348537,4.975735237409652,4.937693571938901,4.93158571175204,4.907294685390263,4.902057582722397,4.907583842093255,0.24326396622051802,-0.02305173415644266,0.02305173415644266,0.027921013533278232,0.02192816143613312,8,4.925225110322014,0.009855559469785979,0.006360601430025703,0.006360601430025703,0.0,0.0,-1.066883310670593,0.2073136200304048
05D3cf,214.223,52.3451,0.41956,41.7981,0.235757,41.67951732114776,0.1185826788522419,0.235757,12282,46932,184027,717571,1623891,4563661,4.796274561809661,4.7763884342314515,4.76773403357818,4.756655619967758,4.759164760158567,4.764223590275999,0.12519263439713976,-0.011175783527816235,0.011175783527816235,0.014595264236777131,0.014234216640506607,7,4.7575376363378625,0.016912793835831295,0.010196397240317623,0.010196397240317623,0.0,0.0,-1.0584230277835127,0.1185826788522419
05D3jb,215.542,52.8781,0.74566,43.1675,0.195179,43.17435896307977,-0.0068589630797717,0.195179,10677,43331,176303,709553,1643217,4607165,4.735460026483681,4.74171885310828,4.749112293026747,4.75177558863906,4.764302801457779,4.7683439791576605,0.11177382946159235,0.010957342090282126,0.010957342090282126,0.012695437500789037,0.007254401238894002,7,4.755708477503231,0.008141773082906591,-0.006596184476483913,0.006596184476483913,0.0,0.0,-1.0689378148699702,0.0068589630797717
