CID,RA,DEC,zCMB,resid_mu,kappa_l64_std
1306029,40.8416,-1.9578,0.42895,0.067707511678158,0.0706840841784535
160197,241.617,53.8718,0.35361,0.0992428873412478,-1.8186693385256028
2002de,244.127,35.7084,0.0305,-0.1704085442329983,3.679744904916459
2003ic,10.4593,-9.3053,0.05196,-0.3315300335473594,-0.0064877563531072
2006ef,31.0813,-8.7284,0.01694,0.125429920679096,-0.1618680248441168
2007ca,202.774,-15.1018,0.01509,0.3551460728658639,0.123471993468488
2008hv,136.892,3.3923,0.0136,0.0437164310574544,-0.0242116602624168
2009D,58.5951,-19.1817,0.02476,-0.0643275316664073,1.587378137748924
2013bs,259.342,41.0667,0.02859,0.0197509762652003,0.9694966347940172
2943,17.7049,1.0079,0.26405,-0.0283857672551519,0.0507577524576648
350192,148.716,1.9617,0.3015,-0.0070100162407484,-0.3504619257584042
AT2016ews,225.652,23.3528,0.04612,0.0827743912289165,-1.817831575244763
PS16bnz,155.154,-2.4668,0.06398,-0.1160995974806198,0.5212780149789489
PS17bii,171.409,7.3336,0.07467,-0.096111848242522,0.1519647507294098
PTSS17-niq,215.069,15.3417,0.0691,-0.0878641925556493,-0.5407155240079224
SN2017hn,196.914,6.3376,0.02492,-0.0244702840565125,0.9629447898679768
