CID,RA,DEC,count_1deg
2003ic,10.4593,-9.3053,254648
2943,17.7049,1.0079,451653
2006ef,31.0813,-8.7284,418465
1306029,40.8416,-1.9578,424564
2009D,58.5951,-19.1817,441740
2008hv,136.892,3.3923,267306
350192,148.716,1.9617,254359
PS16bnz,155.154,-2.4668,245902
PS17bii,171.409,7.3336,244083
SN2017hn,196.914,6.3376,269790
2007ca,202.774,-15.1018,0
PTSS17-niq,215.069,15.3417,244644
AT2016ews,225.652,23.3528,255608
2002de,244.127,35.7084,207012
2013bs,259.342,41.0667,232483
160197,241.617,53.8718,203913
