feature,target,n,pearson_r,pearson_p,spearman_rho,spearman_p
rho_10_std,resid_mu,150,-0.28576823166754145,0.0003928068599476,-0.15120427567565864,0.06474583420063844
rho_10_std,abs_resid,150,-0.22379182713038442,0.005905979217029102,-0.061232512311853345,0.4566542901135119
rho_05_std,resid_mu,150,-0.2818613872220451,0.0004752578850208951,-0.1408438476929427,0.08559110751944095
rho_05_std,abs_resid,150,-0.2244953323200517,0.00574770320083805,-0.07234694329228152,0.3789640041862423
rho_20_std,resid_mu,150,-0.28585931123812724,0.00039105299834921945,-0.1367572937100589,0.09516370295400148
rho_20_std,abs_resid,150,-0.22330653613673213,0.006017415549314999,-0.04321824257877535,0.5994923187855106
abs_grad,resid_mu,150,0.26271470227028065,0.001162543289483624,0.03814650543378637,0.6430362584558476
abs_grad,abs_resid,150,0.22088339917612826,0.0066023713498931415,0.03623660161410958,0.6597648003158985
multiscale_var,resid_mu,150,0.260609110045512,0.0012777043179571768,0.04308664771596709,0.600605292843382
multiscale_var,abs_resid,150,0.22039775556211147,0.006725519387662812,0.02271789692399519,0.7825908313661474
sparse_reconnection,resid_mu,150,-0.0843945091212298,0.30451282233475174,-0.015015046832927745,0.8552940003040425
sparse_reconnection,abs_resid,150,0.01750496666353601,0.8316280582377759,0.08190351047721435,0.31905934957605026
neck_score,resid_mu,150,0.18546838833700904,0.023070586009412933,0.08979571077707534,0.27449148475574064
neck_score,abs_resid,150,0.19385883309334898,0.017453641441894163,0.11003642332415267,0.18009393173284852
